xpath,endpoint_type,schema_defined_type,container,endpoint
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/BankruptcyDelayEndDate,DataPoint,MISMODate,BANKRUPTCY_DELAY,BankruptcyDelayEndDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/BankruptcyDelayStartDate,DataPoint,MISMODate,BANKRUPTCY_DELAY,BankruptcyDelayStartDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/EXTENSION,Container,BANKRUPTCY_DELAY_EXTENSION,BANKRUPTCY_DELAY,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/BANKRUPTCY_DELAY/EXTENSION/OTHER,Container,BANKRUPTCY_DELAY_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/EXTENSION,Container,BANKRUPTCY_DELAYS_EXTENSION,BANKRUPTCY_DELAYS,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DELAYS/EXTENSION/OTHER,Container,BANKRUPTCY_DELAYS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL,Container,BANKRUPTCY_DETAIL,BANKRUPTCY,BANKRUPTCY_DETAIL
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyAdjustmentPercent,DataPoint,MISMOPercent,BANKRUPTCY_DETAIL,BankruptcyAdjustmentPercent
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyAssetsAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,BankruptcyAssetsAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyBarDate,DataPoint,MISMODate,BANKRUPTCY_DETAIL,BankruptcyBarDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyCaseIdentifier,DataPoint,MISMOIdentifier,BANKRUPTCY_DETAIL,BankruptcyCaseIdentifier
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyChapterType,Enumeration,BankruptcyChapterEnum,BANKRUPTCY_DETAIL,BankruptcyChapterType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyChapterTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_DETAIL,BankruptcyChapterTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyDelayIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,BankruptcyDelayIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyDistrictName,DataPoint,MISMOString,BANKRUPTCY_DETAIL,BankruptcyDistrictName
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyDivisionName,DataPoint,MISMOString,BANKRUPTCY_DETAIL,BankruptcyDivisionName
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyExemptAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,BankruptcyExemptAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyFeeAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,BankruptcyFeeAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyFiledStateName,DataPoint,MISMOString,BANKRUPTCY_DETAIL,BankruptcyFiledStateName
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyLiabilitiesAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,BankruptcyLiabilitiesAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyRepaymentPercent,DataPoint,MISMOPercent,BANKRUPTCY_DETAIL,BankruptcyRepaymentPercent
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyType,Enumeration,BankruptcyEnum,BANKRUPTCY_DETAIL,BankruptcyType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/BankruptcyVoluntaryIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,BankruptcyVoluntaryIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/MaterialChangeInLoanTermsRequestedIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,MaterialChangeInLoanTermsRequestedIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/MotionForReliefNotFiledReasonDescription,DataPoint,MISMOString,BANKRUPTCY_DETAIL,MotionForReliefNotFiledReasonDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PostPetitionArrearageIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,PostPetitionArrearageIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PostPetitionPaymentAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,PostPetitionPaymentAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PostPetitionPayToTrusteeIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,PostPetitionPayToTrusteeIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PrePetitionArrearageIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,PrePetitionArrearageIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PreviousChapterSevenBankruptcyDischargeIndicator,DataPoint,MISMOIndicator,BANKRUPTCY_DETAIL,PreviousChapterSevenBankruptcyDischargeIndicator
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/PrincipalReductionOfUnsecuredAmount,DataPoint,MISMOAmount,BANKRUPTCY_DETAIL,PrincipalReductionOfUnsecuredAmount
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/EXTENSION,Container,BANKRUPTCY_DETAIL_EXTENSION,BANKRUPTCY_DETAIL,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DETAIL/EXTENSION/OTHER,Container,BANKRUPTCY_DETAIL_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS,Container,BANKRUPTCY_DISPOSITIONS,BANKRUPTCY,BANKRUPTCY_DISPOSITIONS
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION,Container,BANKRUPTCY_DISPOSITION,BANKRUPTCY_DISPOSITIONS,BANKRUPTCY_DISPOSITION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/BankruptcyDispositionDate,DataPoint,MISMODate,BANKRUPTCY_DISPOSITION,BankruptcyDispositionDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/BankruptcyDispositionType,Enumeration,BankruptcyDispositionEnum,BANKRUPTCY_DISPOSITION,BankruptcyDispositionType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/BankruptcyDispositionTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_DISPOSITION,BankruptcyDispositionTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/EXTENSION,Container,BANKRUPTCY_DISPOSITION_EXTENSION,BANKRUPTCY_DISPOSITION,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/BANKRUPTCY_DISPOSITION/EXTENSION/OTHER,Container,BANKRUPTCY_DISPOSITION_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/EXTENSION,Container,BANKRUPTCY_DISPOSITIONS_EXTENSION,BANKRUPTCY_DISPOSITIONS,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_DISPOSITIONS/EXTENSION/OTHER,Container,BANKRUPTCY_DISPOSITIONS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES,Container,BANKRUPTCY_RESULT_CLASSES,BANKRUPTCY,BANKRUPTCY_RESULT_CLASSES
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/BANKRUPTCY_RESULT_CLASS,Container,BANKRUPTCY_RESULT_CLASS,BANKRUPTCY_RESULT_CLASSES,BANKRUPTCY_RESULT_CLASS
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/BANKRUPTCY_RESULT_CLASS/BankruptcyResultClassificationCode,DataPoint,MISMOCode,BANKRUPTCY_RESULT_CLASS,BankruptcyResultClassificationCode
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/BANKRUPTCY_RESULT_CLASS/EXTENSION,Container,BANKRUPTCY_RESULT_CLASS_EXTENSION,BANKRUPTCY_RESULT_CLASS,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/BANKRUPTCY_RESULT_CLASS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/BANKRUPTCY_RESULT_CLASS/EXTENSION/OTHER,Container,BANKRUPTCY_RESULT_CLASS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/EXTENSION,Container,BANKRUPTCY_RESULT_CLASSES_EXTENSION,BANKRUPTCY_RESULT_CLASSES,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_RESULT_CLASSES/EXTENSION/OTHER,Container,BANKRUPTCY_RESULT_CLASSES_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES,Container,BANKRUPTCY_STATUSES,BANKRUPTCY,BANKRUPTCY_STATUSES
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS,Container,BANKRUPTCY_STATUS,BANKRUPTCY_STATUSES,BANKRUPTCY_STATUS
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/BankruptcyStatusDate,DataPoint,MISMODate,BANKRUPTCY_STATUS,BankruptcyStatusDate
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/BankruptcyStatusType,Enumeration,BankruptcyStatusEnum,BANKRUPTCY_STATUS,BankruptcyStatusType
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/BankruptcyStatusTypeOtherDescription,DataPoint,MISMOString,BANKRUPTCY_STATUS,BankruptcyStatusTypeOtherDescription
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/EXTENSION,Container,BANKRUPTCY_STATUS_EXTENSION,BANKRUPTCY_STATUS,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/BANKRUPTCY_STATUS/EXTENSION/OTHER,Container,BANKRUPTCY_STATUS_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/EXTENSION,Container,BANKRUPTCY_STATUSES_EXTENSION,BANKRUPTCY_STATUSES,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/BANKRUPTCY_STATUSES/EXTENSION/OTHER,Container,BANKRUPTCY_STATUSES_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/BANKRUPTCY/EXTENSION,Container,BANKRUPTCY_EXTENSION,BANKRUPTCY,EXTENSION
/BORROWER/BANKRUPTCIES/BANKRUPTCY/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/BANKRUPTCY/EXTENSION/OTHER,Container,BANKRUPTCY_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCIES/EXTENSION,Container,BANKRUPTCIES_EXTENSION,BANKRUPTCIES,EXTENSION
/BORROWER/BANKRUPTCIES/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCIES/EXTENSION/OTHER,Container,BANKRUPTCIES_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BANKRUPTCY_SUMMARY,Container,BANKRUPTCY_SUMMARY,BORROWER,BANKRUPTCY_SUMMARY
/BORROWER/BANKRUPTCY_SUMMARY/BankruptciesInLastThreeYearsCount,DataPoint,MISMOCount,BANKRUPTCY_SUMMARY,BankruptciesInLastThreeYearsCount
/BORROWER/BANKRUPTCY_SUMMARY/EXTENSION,Container,BANKRUPTCY_SUMMARY_EXTENSION,BANKRUPTCY_SUMMARY,EXTENSION
/BORROWER/BANKRUPTCY_SUMMARY/EXTENSION/MISMO,Container,MISMO_BASE,EXTENSION,MISMO
/BORROWER/BANKRUPTCY_SUMMARY/EXTENSION/OTHER,Container,BANKRUPTCY_SUMMARY_OTHER_BASE,EXTENSION,OTHER
/BORROWER/BORROWER_DETAIL,Container,BORROWER_DETAIL,BORROWER,BORROWER_DETAIL
/BORROWER/BORROWER_DETAIL/AddressConfidentialityProgramIndicator,DataPoint,MISMOIndicator,BORROWER_DETAIL,AddressConfidentialityProgramIndicator
/BORROWER/BORROWER_DETAIL/AutomobilesOwnedCount,DataPoint,MISMOCount,BORROWER_DETAIL,AutomobilesOwnedCount
/BORROWER/BORROWER_DETAIL/BorrowerAgeAtApplicationYearsCount,DataPoint,MISMOCount,BORROWER_DETAIL,BorrowerAgeAtApplicationYearsCount
/BORROWER/BORROWER_DETAIL/BorrowerApplicationSignedDate,DataPoint,MISMODate,BORROWER_DETAIL,BorrowerApplicationSignedDate
